Id   |Name                 |!|Country                                   |Sponsor                              |Host                                     |Distance  |Latency
17969|Loma Plata           | |PY                                        |ChacoNET                             |speedtest.chaco.net.py:8080              |11477169.2|0
17822|Filadelfia           | |PY                                        |FilaNET                              |speedtest.fila.net.py:8080               |11489410.7|0
5016 |Dili                 | |Timor-Leste                               |Telin Timor Leste                    |speedtest1.telkomcel.tl:8080             |11569427.7|0
11851|Dili                 | |Timor-Leste                               |Telemor                              |speedtest.telemor.tl:8080                |11569427.7|0
14310|Dili                 | |Timor-Leste                               |Timor Telecom                        |myspeed.timortelecom.tl:8080             |11569543.5|0
17947|Belgrade             | |RS                                        |mts                                  |speedtest.mts.rs:8080                    |620062.4  |0
17129|Paracin              | |RS                                        |Exe Net d.o.o.                       |pnspeedtest.exe-net.net:8080             |693990.9  |0
18086|Thessaloniki         | |GR                                        |Synapsecom Telecoms SA               |speedtest.skg.synapsecom.gr:8080         |1026810.4 |0
17930|Athens               | |GR                                        |Synapsecom Telecoms SA               |speedtest.synapsecom.gr:8080             |1320639.1 |0
17788|Frauenfeld           | |CH                                        |Leucom Stafag AG                     |speedtest.leucom.ch:8080                 |1138024.3 |0
17530|Freienbach           | |CH                                        |Etzelnet                             |speedtest.etzelnet.ch:8080               |1160967.6 |0
3778 |Douglas              | |Isle of Man                               |Manx Telecom                         |speedtest.manx.net:8080                  |1996794.8 |0
10746|Douglas              | |Isle of Man                               |Sure Telecom                         |speedtest5.sure.com:8080                 |1996970.6 |0
16672|Semey                | |KZ                                        |Altel JSC                            |speedtest19.altel.kz:8080                |3914034.4 |0
16653|Almaty               | |KZ                                        |CBD AO Kazakhtelecom                 |online.kz:8080                           |4027413.2 |0
17770|Accra                | |GH                                        |ComSys Ghana Limited                 |sp1.comsysghana.net:8080                 |5426913.6 |0
17654|Accra                | |GH                                        |Dolphin Telecom                      |speedtest.dolphintelecom.net:8080        |5426913.6 |0
24214|São Tomé             | |São Tomé and Príncipe                     |Unitel ST                            |speedtest.unitel.st:8080                 |5750897.1 |0
24512|Sao Tome             | |São Tomé and Príncipe                     |CST                                  |speedtest.cstome.net:8080                |5750897.1 |0
13852|Caracas              | |Venezuela, Bolivarian Republic of         |Netuno, C.A.                         |speed-ookla.net-uno.net:8080             |9191228.4 |0
11618|Valencia             | |Venezuela, Bolivarian Republic of         |Chircalnet WiFi                      |speedtest.chircalnetwifi.com.ve:8080     |9296777.9 |0
19008|Koror                | |Republic of Palau                         |PNCC                                 |speedtest.pnccpalau.com:8080             |10821602.0|0
19143|Koror                | |Republic of Palau                         |Palau Telecoms                       |speedtest.telco.pw:8080                  |10821602.0|0
18210|Chisinau             | |MD                                        |ARAX I.S.P.                          |speedtest.arax.md:8080                   |479843.4  |0
17971|Vrhnika              | |SI                                        |SGH HostMachine                      |st-new.sgh.si:8080                       |843485.9  |0
12446|Skopje               | |Macedonia, the former Yugoslav Republic of|Akton                                |speedtest.akton.com.mk:8080              |895462.0  |0
11424|Nizhny Novgorod      | |Российская Федерация                      |TTK                                  |speed.ttknn.net:8080                     |1510239.3 |0
5833 |Newport              | |Wales                                     |Hub Network Services Ltd             |quartz.hns.net:8080                      |1903517.7 |0
10686|Saint Peter Port     | |Guernsey                                  |Sure Telecom                         |speedtest3.sure.com:8080                 |1905591.8 |0
17084|Zalka                | |LB                                        |Mnets                                |speed.mnets.net:8080                     |2010218.7 |0
